Flight Point ID,Easting,Northing
1,680043.91,4912297.66
2,680043.91,4914616.06
3,680075.11,4914616.06
4,680075.11,4912297.66
5,680106.31,4912297.66
6,680106.31,4914616.06
7,680137.51,4914616.06
8,680137.51,4912297.66
9,680168.71,4912297.66
10,680168.71,4914616.06
11,680199.91,4914616.06
12,680199.91,4912297.66
13,680231.11,4912297.66
14,680231.11,4914616.06
15,680262.31,4914616.06
16,680262.31,4912297.66
17,680293.51,4912297.66
18,680293.51,4914616.06
19,680324.71,4914616.06
20,680324.71,4912297.66
21,680355.91,4912297.66
22,680355.91,4914616.06
23,680387.11,4914616.06
24,680387.11,4912297.66
25,680418.31,4912297.66
26,680418.31,4914616.06
27,680449.51,4914616.06
28,680449.51,4912297.66
29,680480.71,4912297.66
30,680480.71,4914616.06
31,680511.91,4914616.06
32,680511.91,4912297.66
33,680543.11,4912297.66
34,680543.11,4914616.06
35,680574.31,4914616.06
36,680574.31,4912297.66
37,680605.51,4912297.66
38,680605.51,4914616.06
39,680636.71,4914616.06
40,680636.71,4912297.66
41,680667.91,4912297.66
42,680667.91,4914616.06
43,680699.11,4914616.06
44,680699.11,4912297.66
45,680730.31,4912297.66
46,680730.31,4914616.06
47,680761.51,4914616.06
48,680761.51,4912297.66
49,680792.71,4912297.66
50,680792.71,4914616.06
51,680823.91,4914616.06
52,680823.91,4912297.66
53,680855.11,4912297.66
54,680855.11,4914616.06
55,680886.31,4914616.06
56,680886.31,4912297.66
57,680917.51,4912297.66
58,680917.51,4914616.06
59,680948.71,4914616.06
60,680948.71,4912297.66
61,680979.91,4912297.66
62,680979.91,4914616.06
63,681011.11,4914616.06
64,681011.11,4912297.66
65,681042.31,4912297.66
66,681042.31,4914616.06
67,681073.51,4914616.06
68,681073.51,4912297.66
69,681104.71,4912297.66
70,681104.71,4914616.06
71,681135.91,4914616.06
72,681135.91,4912297.66
73,681167.11,4912297.66
74,681167.11,4914616.06
75,681198.31,4914616.06
76,681198.31,4912297.66
77,681229.51,4912297.66
78,681229.51,4914616.06
79,681260.71,4914616.06
80,681260.71,4912297.66
81,681291.91,4912297.66
82,681291.91,4914616.06
83,681323.11,4914616.06
84,681323.11,4912297.66
85,681354.31,4912297.66
86,681354.31,4914616.06
87,681385.51,4914616.06
88,681385.51,4912297.66
89,681416.71,4912297.66
90,681416.71,4914616.06
91,681447.91,4914616.06
92,681447.91,4912297.66
93,681479.11,4912297.66
94,681479.11,4914616.06
95,681510.31,4914616.06
96,681510.31,4912297.66
97,681541.51,4912297.66
98,681541.51,4914616.06
99,681572.71,4914616.06
100,681572.71,4912297.66
101,681603.91,4912297.66
102,681603.91,4914616.06
103,681635.11,4914616.06
104,681635.11,4912297.66
105,681666.31,4912297.66
106,681666.31,4914616.06
107,681697.51,4914616.06
108,681697.51,4912297.66
109,681728.71,4912297.66
110,681728.71,4914616.06
