Flight Point ID,Easting,Northing
1,705141.54,4899713.53
2,705141.54,4902269.53
3,705323.94,4902269.53
4,705323.94,4899713.53
5,705506.34,4899713.53
6,705506.34,4902269.53
7,705688.74,4902269.53
8,705688.74,4899713.53
9,705871.14,4899713.53
10,705871.14,4902269.53
11,706053.54,4902269.53
12,706053.54,4899713.53
13,706235.94,4899713.53
14,706235.94,4902269.53
15,706418.34,4902269.53
16,706418.34,4899713.53
17,706600.74,4899713.53
18,706600.74,4902269.53
19,706783.14,4902269.53
20,706783.14,4899713.53
21,706965.54,4899713.53
22,706965.54,4902269.53
23,707147.94,4902269.53
24,707147.94,4899713.53
25,707330.34,4899713.53
26,707330.34,4902269.53
27,707512.74,4902269.53
28,707512.74,4899713.53
